alpha,layers,auc_within_comp,auc_all_neg,n_pos,n_neg_within
1.0,1,0.6756666666666666,0.9245345744680851,20,150
1.0,2,0.7075,0.941655585106383,20,150
1.0,3,0.7003333333333334,0.9402260638297872,20,150
1.0,5,0.6928333333333333,0.9387300531914894,20,150
1.0,10,0.694,0.9389627659574468,20,150
1.0,50,0.6658333333333334,0.933344414893617,20,150
1.0,500,0.5413333333333333,0.9085106382978724,20,150
0.5,1,0.6826666666666666,0.9129654255319148,20,150
0.5,2,0.6806666666666666,0.9125664893617021,20,150
0.5,3,0.68,0.9124335106382979,20,150
0.5,5,0.6871666666666667,0.9138630319148936,20,150
0.5,10,0.6873333333333334,0.9138962765957447,20,150
0.5,50,0.6803333333333333,0.9125,20,150
0.5,500,0.6803333333333333,0.9125,20,150
