============================================================================================================
gen2 实验 6：覆盖率归因矩阵（本体级联规则 × 孤儿打包规则）
============================================================================================================
        ont     orphan | cov_min cov_mean cov>=.85 | #adhoc adhoc_med adhoc_max edges_in_adhoc>=2
------------------------------------------------------------------------------------------------------------
       json     target |  1.0000   1.0000        ✅ |    188         1         1                 0
       json     source |  1.0000   1.0000        ✅ |    188         1         1                 0
       json     ground |  1.0000   1.0000        ✅ |    188         1         1                 0
       json source_type |  1.0000   1.0000        ✅ |     89         2         6               152
       json       none |  0.3333   0.7672        ❌ |      0         0         0                 0
     source     target |  1.0000   1.0000        ✅ |    188         1         1                 0
     source     source |  1.0000   1.0000        ✅ |    188         1         1                 0
     source     ground |  1.0000   1.0000        ✅ |    188         1         1                 0
     source source_type |  1.0000   1.0000        ✅ |     89         2         6               152
     source       none |  0.3333   0.7672        ❌ |      0         0         0                 0
     ground     target |  1.0000   1.0000        ✅ |    188         1         1                 0
     ground     source |  1.0000   1.0000        ✅ |    188         1         1                 0
     ground     ground |  1.0000   1.0000        ✅ |    188         1         1                 0
     ground source_type |  1.0000   1.0000        ✅ |     89         2         6               152
     ground       none |  0.3333   0.7672        ❌ |      0         0         0                 0
source_type     target |  1.0000   1.0000        ✅ |    188         1         1                 0
source_type     source |  1.0000   1.0000        ✅ |    188         1         1                 0
source_type     ground |  1.0000   1.0000        ✅ |    188         1         1                 0
source_type source_type |  1.0000   1.0000        ✅ |     89         2         6               152
source_type       none |  0.3333   0.7672        ❌ |      0         0         0                 0

→ E:\02_AI项目\元图隐喻分析\.wt\cascade\experiments\gen2\exp_g2_6_coverage.json
