alpha,leak,n,acc_hgnn,acc_flat,acc_raw,acc_gru,mcnemar_b_flat_only,mcnemar_c_hgnn_only,mcnemar_p,identical_pattern,n_diff_pattern,mean_abs_dpos,mean_abs_dneg,raw_tie_rate
1.0,0.0,20,0.95,0.95,0.15,1.0,0,0,1.0,True,0,0.02210333763612586,0.01243773769810567,0.8
0.9,0.0,20,0.95,0.95,0.15,1.0,0,0,1.0,True,0,0.019576033701808427,0.009937909818146944,0.8
0.7,0.0,20,0.9,0.95,0.15,1.0,1,0,1.0,False,1,0.01222307088039089,0.005670813769503477,0.8
0.5,0.0,20,0.95,0.9,0.15,1.0,0,1,1.0,False,1,0.006508508632164542,0.0029809743411909817,0.8
0.3,0.0,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.0029814115565029754,0.0013563159943783352,0.8
0.1,0.0,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.000757919424873356,0.0003510884373573059,0.8
1.0,0.1,20,0.95,0.95,0.15,1.0,0,0,1.0,True,0,0.02158736088432953,0.011691958262511303,0.8
0.9,0.1,20,0.9,0.95,0.15,1.0,1,0,1.0,False,1,0.018355512734043906,0.009077808903168335,0.8
0.7,0.1,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.01089295225724574,0.005011185716667299,0.8
0.5,0.1,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.005756913549940556,0.002624717745116218,0.8
0.3,0.1,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.0026357559217015493,0.001201539575033522,0.8
0.1,0.1,20,0.95,0.9,0.15,1.0,0,1,1.0,False,1,0.0006769392049224928,0.00031389295771325486,0.8
1.0,0.2,20,0.95,0.95,0.15,1.0,0,0,1.0,True,0,0.020744188311739263,0.010817756915781887,0.8
0.9,0.2,20,0.95,0.9,0.15,1.0,0,1,1.0,False,1,0.01685826358807914,0.008139204956134948,0.8
0.7,0.2,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.009529709653863546,0.004368669289923252,0.8
0.5,0.2,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.005015048772038837,0.0022779504306420667,0.8
0.3,0.2,20,0.95,0.9,0.15,1.0,0,1,1.0,False,1,0.0022995134456220566,0.0010506210831763836,0.8
0.1,0.2,20,0.9,0.9,0.15,1.0,0,0,1.0,True,0,0.0005970991132745866,0.0002771555517225582,0.8
